size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	6418	3616	2952	2567	2124	1773	1456	1157	1041	880	784	789	714	761	733	750	
64m	6132	4576	3009	2408	1949	1564	1331	1118	973	920	880	827	798	791	779	765	
32m	6050	4614	3141	2396	1973	1605	1325	1138	1005	921	870	831	798	793	789	754	
16m	6307	4526	3171	2369	1947	1604	1331	1105	1008	931	878	796	587	600	564	777	
8m	6177	4594	3205	2417	1993	1376	1324	1107	983	919	848	817	788	780	771	815	
4m	6392	4709	3563	2245	2533	2571	2047	1875	1652	1519	1472	1524	1634	2132	2484	887	
2m	4738	4726	4712	4711	4718	4505	4279	3987	3791	3530	3249	3013	2889	2708	2574	2457	
1024k	5375	5372	5354	5353	5330	5158	4707	4172	4018	4582	4393	4191	4120	3982	4010	3912	
512k	6673	6660	6645	6636	6615	6554	6540	4628	4526	4632	4565	4478	4210	3994	4006	4398	
256k	4853	4851	4846	4844	4841	4833	4831	4833	4822	4825	4819	4594	4441	4112	4124	4421	
128k	4851	4846	4837	4832	4824	4803	4796	4793	4719	4775	4782	4576	4313	4027	4124	4613	
64k	4848	4830	4837	4795	4808	4784	4774	4767	4662	4743	4674	4539	4313	4060	4361	4613	
32k	4844	4808	4766	4746	4684	4745	4684	4664	4498	4554	4606	4467	4242	4349	4359	4421	
16k	4823	4767	4698	4698	4684	4671	4517	4384	4394	4554	4350	4467	4383	4345	4044	4077	
8k	4809	4725	4567	4517	4350	4393	4216	4216	4023	4326	3915	3970	4103	3802	3538	3786	
4k	4726	4567	4327	4194	3806	3734	3952	3915	3442	3597	3262	3573	3272	3031	3538	3312	
2k	4568	4279	3732	3664	3255	3734	3152	2730	3011	2685	2434	2233	2710	2509	2342	1656	
1k	4469	3803	3413	2931	2836	3112	2610	2275	2008	5320	2409	2208	2008	1857	3513	3312	
